,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
1417,12/08/2021,01101,49,Montgomery County,AL,48.7,110308,110137.0,57.8,103677,59.7,27707,78.5,92.7,139222.0,61.5,137898.0,72.4,129391.0,74.5,33875.0,96.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
3871,12/07/2021,01101,49,Montgomery County,AL,48.6,110150,110011.0,57.7,103555,59.7,27679,78.5,92.7,139020.0,61.4,137728.0,72.3,129228.0,74.4,33852.0,95.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
9449,12/06/2021,01101,49,Montgomery County,AL,48.6,110039,109923.0,57.7,103471,59.6,27669,78.4,92.7,138891.0,61.3,137614.0,72.2,129118.0,74.4,33833.0,95.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
11801,12/05/2021,01101,49,Montgomery County,AL,48.5,109809,109760.0,57.6,103324,59.5,27640,78.3,92.7,138645.0,61.2,137440.0,72.1,128955.0,74.3,33808.0,95.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
13585,12/04/2021,01101,48,Montgomery County,AL,48.4,109639,109615.0,57.5,103188,59.4,27611,78.3,92.7,138313.0,61.1,137233.0,72.0,128752.0,74.2,33759.0,95.7,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
17947,12/03/2021,01101,48,Montgomery County,AL,48.4,109567,109553.0,57.5,103130,59.4,27600,78.2,92.7,138161.0,61.0,137107.0,72.0,128630.0,74.1,33731.0,95.6,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
21199,12/02/2021,01101,48,Montgomery County,AL,48.2,109263,109252.0,57.3,102846,59.2,27526,78.0,92.6,137673.0,60.8,136715.0,71.8,128250.0,73.9,33644.0,95.4,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
23775,12/01/2021,01101,48,Montgomery County,AL,48.2,109170,109164.0,57.3,102766,59.2,27514,78.0,92.6,137487.0,60.7,136587.0,71.7,128130.0,73.8,33626.0,95.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
28664,11/30/2021,01101,48,Montgomery County,AL,48.1,109032,109027.0,57.2,102633,59.1,27481,77.9,92.6,137263.0,60.6,136402.0,71.6,127954.0,73.7,33596.0,95.2,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
31158,11/29/2021,01101,48,Montgomery County,AL,48.1,108912,108907.0,57.2,102522,59.1,27469,77.9,92.6,136964.0,60.5,136187.0,71.5,127747.0,73.6,33568.0,95.1,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
35592,11/28/2021,01101,48,Montgomery County,AL,47.9,108531,108526.0,57.0,102159,58.8,27383,77.6,92.6,136316.0,60.2,135690.0,71.2,127275.0,73.3,33466.0,94.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
36743,11/27/2021,01101,47,Montgomery County,AL,47.9,108531,108526.0,57.0,102159,58.8,27383,77.6,92.6,136316.0,60.2,135690.0,71.2,127275.0,73.3,33466.0,94.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
39411,11/26/2021,01101,47,Montgomery County,AL,47.9,108531,108526.0,57.0,102159,58.8,27383,77.6,92.6,136316.0,60.2,135690.0,71.2,127275.0,73.3,33466.0,94.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
45228,11/25/2021,01101,47,Montgomery County,AL,47.9,108531,108526.0,57.0,102159,58.8,27383,77.6,92.6,136316.0,60.2,135690.0,71.2,127275.0,73.3,33466.0,94.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
47027,11/24/2021,01101,47,Montgomery County,AL,47.9,108531,108526.0,57.0,102159,58.8,27383,77.6,92.6,136316.0,60.2,135690.0,71.2,127275.0,73.3,33466.0,94.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
51161,11/23/2021,01101,47,Montgomery County,AL,47.8,108151,108146.0,56.8,101811,58.6,27287,77.3,92.6,135983.0,60.0,135393.0,71.1,126994.0,73.2,33373.0,94.6,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
53301,11/22/2021,01101,47,Montgomery County,AL,47.7,108007,108002.0,56.7,101674,58.6,27257,77.3,92.6,135751.0,59.9,135211.0,71.0,126816.0,73.1,33333.0,94.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
56380,11/21/2021,01101,47,Montgomery County,AL,47.6,107906,107901.0,56.6,101577,58.5,27231,77.2,92.6,135545.0,59.8,135073.0,70.9,126683.0,73.0,33297.0,94.4,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
59587,11/20/2021,01101,46,Montgomery County,AL,47.6,107840,107835.0,56.6,101514,58.5,27218,77.1,92.6,135425.0,59.8,134994.0,70.8,126605.0,72.9,33278.0,94.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
64783,11/19/2021,01101,46,Montgomery County,AL,47.5,107591,107586.0,56.5,101272,58.3,27152,77.0,92.6,135054.0,59.6,134679.0,70.7,126300.0,72.8,33188.0,94.1,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
68793,11/18/2021,01101,46,Montgomery County,AL,47.5,107489,107484.0,56.4,101176,58.3,27125,76.9,92.6,134917.0,59.6,134566.0,70.6,126192.0,72.7,33164.0,94.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
70360,11/17/2021,01101,46,Montgomery County,AL,47.4,107250,107245.0,56.3,100945,58.1,27051,76.7,92.6,134582.0,59.4,134293.0,70.5,125932.0,72.5,33091.0,93.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
73556,11/16/2021,01101,46,Montgomery County,AL,47.3,107118,107113.0,56.2,100826,58.1,27027,76.6,92.6,134404.0,59.3,134141.0,70.4,125790.0,72.5,33055.0,93.7,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
76282,11/15/2021,01101,46,Montgomery County,AL,47.3,107061,107056.0,56.2,100773,58.0,27021,76.6,92.6,134270.0,59.3,134041.0,70.3,125694.0,72.4,33038.0,93.6,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
80815,11/14/2021,01101,46,Montgomery County,AL,47.2,106961,106956.0,56.1,100683,58.0,27006,76.5,92.6,134038.0,59.2,133905.0,70.3,125568.0,72.3,33008.0,93.6,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
83307,11/13/2021,01101,45,Montgomery County,AL,46.7,105875,105870.0,55.6,99638,57.4,26754,75.8,92.6,133045.0,58.7,132965.0,69.8,124678.0,71.8,32759.0,92.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
86090,11/12/2021,01101,45,Montgomery County,AL,46.7,105798,105793.0,55.5,99563,57.4,26725,75.7,92.6,132891.0,58.7,132869.0,69.7,124592.0,71.8,32736.0,92.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
89446,11/11/2021,01101,45,Montgomery County,AL,46.7,105788,105783.0,55.5,99554,57.3,26724,75.7,92.6,132858.0,58.7,132836.0,69.7,124560.0,71.8,32734.0,92.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
94199,11/10/2021,01101,45,Montgomery County,AL,46.7,105720,105715.0,55.5,99489,57.3,26714,75.7,92.6,132768.0,58.6,132748.0,69.7,124476.0,71.7,32724.0,92.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
97256,11/09/2021,01101,45,Montgomery County,AL,46.6,105516,105511.0,55.4,99294,57.2,26656,75.6,92.6,132500.0,58.5,132482.0,69.5,124221.0,71.6,32657.0,92.6,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
98545,11/08/2021,01101,45,Montgomery County,AL,46.5,105410,105405.0,55.3,99193,57.1,26645,75.5,92.6,132431.0,58.5,132413.0,69.5,124154.0,71.5,32652.0,92.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
104888,11/07/2021,01101,45,Montgomery County,AL,46.4,105137,105132.0,55.2,98930,57.0,26612,75.4,92.6,132234.0,58.4,132216.0,69.4,123973.0,71.4,32613.0,92.4,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
105632,11/06/2021,01101,44,Montgomery County,AL,46.4,104996,104991.0,55.1,98795,56.9,26565,75.3,92.6,132012.0,58.3,131994.0,69.3,123758.0,71.3,32545.0,92.2,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
110388,11/05/2021,01101,44,Montgomery County,AL,46.3,104931,104926.0,55.1,98734,56.9,26545,75.2,92.6,131947.0,58.3,131929.0,69.2,123694.0,71.3,32526.0,92.2,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
113928,11/04/2021,01101,44,Montgomery County,AL,46.3,104794,104789.0,55.0,98606,56.8,26488,75.1,92.6,131744.0,58.2,131726.0,69.1,123497.0,71.1,32462.0,92.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
115225,11/03/2021,01101,44,Montgomery County,AL,46.2,104639,104634.0,54.9,98455,56.7,26432,74.9,92.6,131601.0,58.1,131583.0,69.1,123359.0,71.1,32417.0,91.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
121352,11/02/2021,01101,44,Montgomery County,AL,46.1,104478,104473.0,54.8,98301,56.6,26382,74.8,92.6,131368.0,58.0,131350.0,68.9,123136.0,70.9,32353.0,91.7,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
123555,11/01/2021,01101,44,Montgomery County,AL,46.1,104398,104393.0,54.8,98232,56.6,26368,74.7,92.6,131284.0,58.0,131266.0,68.9,123056.0,70.9,32333.0,91.6,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
127219,10/31/2021,01101,44,Montgomery County,AL,46.0,104245,104240.0,54.7,98093,56.5,26322,74.6,92.6,131106.0,57.9,131088.0,68.8,122889.0,70.8,32292.0,91.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
130190,10/30/2021,01101,43,Montgomery County,AL,46.0,104182,104177.0,54.7,98034,56.5,26304,74.6,92.6,131025.0,57.9,131007.0,68.8,122808.0,70.7,32270.0,91.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
132614,10/29/2021,01101,43,Montgomery County,AL,45.9,104026,104021.0,54.6,97892,56.4,26255,74.4,92.6,130889.0,57.8,130871.0,68.7,122677.0,70.7,32224.0,91.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
134919,10/28/2021,01101,43,Montgomery County,AL,45.8,103823,103818.0,54.5,97700,56.3,26184,74.2,92.6,130654.0,57.7,130636.0,68.6,122448.0,70.5,32123.0,91.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
139424,10/27/2021,01101,43,Montgomery County,AL,45.7,103563,103558.0,54.3,97449,56.1,26079,73.9,92.6,130385.0,57.6,130367.0,68.4,122188.0,70.4,32009.0,90.7,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
143279,10/26/2021,01101,43,Montgomery County,AL,45.6,103312,103307.0,54.2,97214,56.0,25982,73.6,92.6,130131.0,57.5,130114.0,68.3,121949.0,70.2,31923.0,90.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
144759,10/25/2021,01101,43,Montgomery County,AL,45.6,103221,103216.0,54.2,97132,56.0,25953,73.6,92.6,130036.0,57.4,130019.0,68.2,121861.0,70.2,31887.0,90.4,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
148840,10/24/2021,01101,43,Montgomery County,AL,45.5,103122,103117.0,54.1,97044,55.9,25921,73.5,92.6,129927.0,57.4,129910.0,68.2,121762.0,70.1,31855.0,90.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
151322,10/23/2021,01101,42,Montgomery County,AL,45.5,103035,103030.0,54.1,96961,55.9,25899,73.4,92.6,129849.0,57.3,129832.0,68.1,121689.0,70.1,31835.0,90.2,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
155349,10/22/2021,01101,42,Montgomery County,AL,45.4,102825,102820.0,54.0,96762,55.7,25850,73.3,92.6,129685.0,57.3,129668.0,68.1,121536.0,70.0,31794.0,90.1,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
158254,10/21/2021,01101,42,Montgomery County,AL,45.3,102572,102567.0,53.8,96531,55.6,25816,73.2,92.5,129340.0,57.1,129323.0,67.9,121223.0,69.8,31754.0,90.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
162657,10/20/2021,01101,42,Montgomery County,AL,45.2,102407,102402.0,53.7,96376,55.5,25798,73.1,92.5,129135.0,57.0,129118.0,67.8,121028.0,69.7,31729.0,89.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
166477,10/19/2021,01101,42,Montgomery County,AL,45.2,102267,102262.0,53.7,96250,55.4,25777,73.1,92.5,128999.0,57.0,128982.0,67.7,120908.0,69.6,31707.0,89.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
168211,10/18/2021,01101,42,Montgomery County,AL,45.1,102192,102187.0,53.6,96187,55.4,25770,73.0,92.5,128921.0,56.9,128904.0,67.7,120844.0,69.6,31695.0,89.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
170877,10/17/2021,01101,42,Montgomery County,AL,45.1,102078,102073.0,53.6,96091,55.4,25749,73.0,92.5,128809.0,56.9,128792.0,67.6,120741.0,69.6,31672.0,89.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
176401,10/16/2021,01101,41,Montgomery County,AL,45.0,101885,101880.0,53.5,95914,55.3,25721,72.9,92.5,128608.0,56.8,128591.0,67.5,120549.0,69.4,31635.0,89.7,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
179951,10/15/2021,01101,41,Montgomery County,AL,44.9,101657,101652.0,53.3,95705,55.1,25678,72.8,92.5,128389.0,56.7,128372.0,67.4,120344.0,69.3,31588.0,89.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
181380,10/14/2021,01101,41,Montgomery County,AL,44.8,101478,101473.0,53.3,95537,55.0,25650,72.7,92.5,128247.0,56.6,128230.0,67.3,120205.0,69.2,31562.0,89.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
186893,10/13/2021,01101,41,Montgomery County,AL,44.6,100995,100990.0,53.0,95080,54.8,25622,72.6,92.5,127751.0,56.4,127734.0,67.0,119715.0,69.0,31532.0,89.4,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
187466,10/12/2021,01101,41,Montgomery County,AL,44.6,100943,100938.0,53.0,95036,54.7,25617,72.6,92.5,127723.0,56.4,127706.0,67.0,119691.0,68.9,31526.0,89.4,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
192579,10/11/2021,01101,41,Montgomery County,AL,44.5,100838,100833.0,52.9,94945,54.7,25603,72.6,92.5,127625.0,56.4,127608.0,67.0,119605.0,68.9,31519.0,89.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
196633,10/10/2021,01101,41,Montgomery County,AL,44.5,100682,100677.0,52.8,94821,54.6,25579,72.5,92.5,127495.0,56.3,127478.0,66.9,119492.0,68.8,31495.0,89.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
200024,10/09/2021,01101,40,Montgomery County,AL,44.4,100483,100478.0,52.7,94637,54.5,25528,72.4,92.5,127367.0,56.2,127350.0,66.8,119371.0,68.8,31457.0,89.2,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
200656,10/08/2021,01101,40,Montgomery County,AL,44.3,100406,100401.0,52.7,94571,54.5,25514,72.3,92.5,127304.0,56.2,127287.0,66.8,119311.0,68.7,31445.0,89.1,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
204730,10/07/2021,01101,40,Montgomery County,AL,44.2,100027,100022.0,52.5,94225,54.3,25423,72.1,92.5,127043.0,56.1,127026.0,66.7,119078.0,68.6,31380.0,88.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
208788,10/06/2021,01101,40,Montgomery County,AL,44.1,99897,99892.0,52.4,94106,54.2,25399,72.0,92.5,126936.0,56.0,126919.0,66.6,118978.0,68.5,31364.0,88.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
212225,10/05/2021,01101,40,Montgomery County,AL,44.0,99745,99740.0,52.3,93971,54.1,25381,71.9,92.5,126829.0,56.0,126812.0,66.6,118880.0,68.5,31349.0,88.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
214670,10/04/2021,01101,40,Montgomery County,AL,44.0,99637,99632.0,52.3,93881,54.1,25370,71.9,92.5,126759.0,56.0,126742.0,66.5,118818.0,68.4,31342.0,88.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
219108,10/03/2021,01101,40,Montgomery County,AL,43.9,99319,99314.0,52.1,93612,53.9,25327,71.8,92.5,126511.0,55.9,126494.0,66.4,118601.0,68.3,31296.0,88.7,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
220190,10/02/2021,01101,39,Montgomery County,AL,43.7,98940,98936.0,51.9,93288,53.7,25274,71.6,92.5,126283.0,55.8,126266.0,66.3,118393.0,68.2,31248.0,88.6,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
224968,10/01/2021,01101,39,Montgomery County,AL,43.6,98789,98785.0,51.8,93149,53.7,25236,71.5,92.5,126161.0,55.7,126144.0,66.2,118282.0,68.1,31215.0,88.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
227045,09/30/2021,01101,39,Montgomery County,AL,43.6,98736,98732.0,51.8,93101,53.6,25234,71.5,92.5,126133.0,55.7,126116.0,66.2,118256.0,68.1,31214.0,88.5,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
229945,09/29/2021,01101,39,Montgomery County,AL,43.4,98408,98404.0,51.6,92788,53.4,25197,71.4,92.5,125908.0,55.6,125891.0,66.1,118049.0,68.0,31163.0,88.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
234748,09/28/2021,01101,39,Montgomery County,AL,43.4,98367,98363.0,51.6,92748,53.4,25188,71.4,92.5,125859.0,55.6,125842.0,66.0,118002.0,68.0,31157.0,88.3,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
237483,09/27/2021,01101,39,Montgomery County,AL,43.3,97992,97988.0,51.4,92419,53.2,25154,71.3,92.5,125652.0,55.5,125635.0,65.9,117830.0,67.9,31129.0,88.2,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
240264,09/26/2021,01101,39,Montgomery County,AL,43.1,97724,97720.0,51.3,92205,53.1,25140,71.3,92.5,125515.0,55.4,125498.0,65.9,117715.0,67.8,31110.0,88.2,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
243407,09/25/2021,01101,38,Montgomery County,AL,43.0,97379,97375.0,51.1,91921,53.0,25110,71.2,92.4,125254.0,55.3,125237.0,65.7,117494.0,67.7,31088.0,88.1,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
246602,09/24/2021,01101,38,Montgomery County,AL,42.8,96956,96952.0,50.9,91546,52.7,25056,71.0,92.4,124966.0,55.2,124949.0,65.6,117234.0,67.5,31053.0,88.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
251401,09/23/2021,01101,38,Montgomery County,AL,42.7,96797,96793.0,50.8,91403,52.7,25030,70.9,92.4,124856.0,55.1,124839.0,65.5,117128.0,67.5,31043.0,88.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
255242,09/22/2021,01101,38,Montgomery County,AL,42.7,96720,96716.0,50.8,91331,52.6,25030,70.9,92.4,124783.0,55.1,124766.0,65.5,117059.0,67.4,31041.0,88.0,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
256512,09/21/2021,01101,38,Montgomery County,AL,42.6,96515,96511.0,50.7,91150,52.5,25013,70.9,92.4,124621.0,55.0,124604.0,65.4,116904.0,67.3,31023.0,87.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
261908,09/20/2021,01101,38,Montgomery County,AL,42.6,96381,96377.0,50.6,91030,52.4,25000,70.9,92.4,124541.0,55.0,124524.0,65.4,116829.0,67.3,31011.0,87.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
263362,09/19/2021,01101,38,Montgomery County,AL,42.5,96207,96203.0,50.5,90892,52.4,24985,70.8,92.4,124407.0,54.9,124390.0,65.3,116715.0,67.2,31004.0,87.9,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
268426,09/18/2021,01101,37,Montgomery County,AL,42.2,95528,95524.0,50.1,90320,52.0,24938,70.7,92.4,124031.0,54.8,124014.0,65.1,116392.0,67.0,30967.0,87.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0
